"codigo","descripcion","um"
"LA41500/010","DESTORN. PLANO TRAM. 1/8 x 3","UN"
"LA42246/114","LLAVES COMB.TRAMONTINA 14MM","UN"
"LA43141/037","MECHA TRAM.HSS 7,5mm-L-109mm","UN"
"LA43142/010","MECHA TRAM.CONCRETO 10mm-L-150mm","UN"
"LA43142/012","MECHA TRAM.CONCRETO 12mm-L-150mm","UN"
"LA43143/006","MECHA TRAM.3PUNTAS 6mm-L-90mm","UN"
"LA43143/008","MECHA TRAM.3PUNTAS 8mm-L-110mm","UN"
"LA43143/010","MECHA TRAM.3PUNTAS 10mm-L-130mm","UN"
"LA43143/012","MECHA TRAM.3PUNTAS 12mm-L-145mm","UN"
"LA43143/014","MATERIAL BLOQUEADO","UN"
"LA40500/001","MAZO TRAMONTINA PRO 500GR","UN"
"LA40500/002","MAZO TRAMONTINA PRO 1.000GR","UN"
"LA40500/003","MAZO TRAMONTINA PRO 1.500GR","UN"
"LA40500/004","MAZO TRAMONTINA PRO 2.000GR","UN"
"LA40506","GANCHO OJAL KOCH 0,5T","UN"
"LA40507","GANCHO OJAL KOCH 0,7T","UN"
"LA40508","MATERIAL BLOQUEADO","UN"
"LA40508/001","MAZO TRAM 500GR MASTER","UN"
"LA40508/002","MAZO TRAM 1000GR MASTER","UN"
"LA40508/003","MAZO TRAM 1500GR MASTER","UN"
"LA40508/004","MAZO TRAM 2000GR MASTER","UN"
"LA40509","GANCHO OJAL KOCH 1T","UN"
"LA40510","GANCHO OJAL KOCH 2T","UN"
"LA40511","GANCHO OJAL KOCH 3T","UN"
"LA40512","GANCHO OJAL KOCH 5T","UN"
"LA41500/011","DESTORN. PLANO TRAM. 1/8 x 4","UN"
"LA41500/012","DESTORN. PLANO TRAM. 1/8 x 5","UN"
"LA41500/013","DESTORN. PLANO TRAM. 1/8 x 6","UN"
"LA41500/020","DESTORN. PLANO TRAM. 3/16 x 3","UN"
"LA41500/021","DESTORN. PLANO TRAM. 3/16 x 4","UN"
"LA41500/022","DESTORN. PLANO TRAM. 3/16 x 5","UN"
"LA41500/023","DESTORN. PLANO TRAM. 3/16 x 6","UN"
"LA41500/030","DESTORN. PLANO TRAM. 1/4 x 4","UN"
"LA41500/031","DESTORN. PLANO TRAM. 1/4 x 5","UN"
"LA41500/032","DESTORN. PLANO TRAM. 1/4 x 6","UN"
"LA41500/033","DESTORN. PLANO TRAM. 1/4 x 8","UN"
"LA41500/034","DESTORN. PLANO TRAM. 1/4 x 10","UN"
"LA41050/110","TENAZA P/CARP.TRAMONTINA 10","UN"
"LA41500/040","DESTORN. PLANO TRAM. 5/16 x 4","UN"
"LA43142/006","MECHA TRAM.CONCRETO 6mm-L-100mm","UN"
"LA43148/106","MECHA TRAM.SDS-PLUS 6mm-L-160mm","UN"
"LA43148/118","MECHA TRAM.SDS-PLUS 10mm-L-160mm","UN"
"LA43148/121","MECHA TRAM.SDS-PLUS 10mm-L-310mm","UN"
